batch_name	batch_role	status	nav_tier	default_entry	key_notes
topic_entry	topic_entry	ready	must_read	10_source_library_archive/topic_entry/README.md	主题入口层；把来源库 first-hop 从按批次进入收成按主题进入
batch_01_youzi_truth_anchors	truth_anchor	ready	must_read	10_source_library_archive/batch_01_youzi_truth_anchors/README.md	首批真值锚点；仍是来源层基础锚点入口
batch_09_legacy_source_library_alignment__20260707	alignment_boundary	ready	must_read	10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/README.md	历史来源库对齐总边界；用于回看迁移与拆批依据
batch_100_non_kimi_public_methods_boundary__20260707	boundary_batch	ready	optional_read	10_source_library_archive/batch_100_non_kimi_public_methods_boundary__20260707/README.md	公开方法论边界批；后续提升到 batch_107/108/109
batch_101_non_kimi_atomic_rules_boundary__20260707	boundary_batch	ready	optional_read	10_source_library_archive/batch_101_non_kimi_atomic_rules_boundary__20260707/README.md	原子规则边界批；后续提升到 batch_102~106
batch_107_non_kimi_public_batch9_bundle__20260707	stable_bundle	ready	optional_read	10_source_library_archive/batch_107_non_kimi_public_batch9_bundle__20260707/README.md	公开方法资料的稳定 bundle
batch_108_non_kimi_nftradez_method_bundle__20260707	stable_bundle	ready	optional_read	10_source_library_archive/batch_108_non_kimi_nftradez_method_bundle__20260707/README.md	NFTRADEZ 方法参考 bundle
batch_109_non_kimi_smile_smc_method_bundle__20260707	stable_bundle	ready	optional_read	10_source_library_archive/batch_109_non_kimi_smile_smc_method_bundle__20260707/README.md	Smile_SMC 方法参考 bundle
batch_110_external_folder_absorb__20260708	absorb_batch	ready	optional_read	10_source_library_archive/batch_110_external_folder_absorb__20260708/README.md	外部文件夹一次性吸收批；已补 family entry map
batch_120_tools_workspace_absorb__20260709	absorb_batch	ready	optional_read	10_source_library_archive/batch_120_tools_workspace_absorb__20260709/README.md	工具工作区回收批；当前只保留 historical_recovered 的 session_clip
batch_131_trae_system_selected_absorb__20260709	absorb_batch	ready	optional_read	10_source_library_archive/batch_131_trae_system_selected_absorb__20260709/README.md	系统正文吸收批；已补 family entry map
batch_132_trae_system_raw_snapshot_batch09_absorb__20260709	archive_only_absorb	ready	archive_only	10_source_library_archive/batch_132_trae_system_raw_snapshot_batch09_absorb__20260709/README.md	系统 raw snapshot 吸收批；按 archive_only 保留
batch_140_tushare_tdx_data_source_absorb__20260712	absorb_batch	ready	optional_read	10_source_library_archive/batch_140_tushare_tdx_data_source_absorb__20260712/README.md	A股数据源教程吸收批；已形成内化摘要与项目裁决
mirror_kimi_inbox	staging_area	working	staging_only	10_source_library_archive/mirror_kimi_inbox/README_放这里.md	Kimi 待入库与中转侧；若关注 A 股量化研究优先进 GROUP_08_短索引入口_v1.md
raw_assets	raw_truth_side	working	raw_truth_side	10_source_library_archive/raw_assets/README.md	原件真值侧；若要找原件先来这里，不把它当默认阅读入口
